epoch,train_iou,val_iou
1,0.3992080064775655,0.5173612848257485
2,0.5442409425973892,0.5972803993918263
3,0.6202682049572468,0.6572326892100203
4,0.674862895309925,0.705976630171267
5,0.7217107304930687,0.7339070018487998
6,0.7487862688302994,0.7497463769044358
7,0.7726944699883461,0.7723737332386712
8,0.7824931541085243,0.7926748806295304
9,0.7949783802032471,0.8074079058802547
10,0.8102910858392716,0.8083507441484128
11,0.8148272010684013,0.8215538701310325
12,0.8339271152019501,0.8332801226990673
13,0.8369422927498817,0.8424865751982497
14,0.8392998379468918,0.8524433140175792
15,0.8493553823232651,0.8336375862264785
16,0.8481100171804428,0.8573599238746082
17,0.852208548784256,0.8518949556655396
18,0.8563217356801033,0.860485345791704
19,0.8577952656149864,0.8537778743920615
20,0.8539463576674461,0.8598529014724512
